RA,Dec,Signal,Name
260.0121,57.8985,115.13,Draco
227.0574,67.1666,103.49,Ursa Minor
251.7941,47.5305,89.38,NGC 6229
259.1623,43.2073,71.83,M92
149.8038,30.7525,70.51,LeoA
250.5699,36.4042,51.50,M13
162.3292,51.0424,34.66,Willman1
210.6602,54.2888,23.22,NGC 5447
132.8462,63.1284,21.06,UrsaMajor2
184.1276,69.4187,20.79,NGC 4236
225.4165,66.9561,18.24,Munoz1
177.6723,38.8581,18.02,DDO99
112.1375,69.1624,17.59,UGC 3847
169.5878,58.0144,17.55,NGC 3613
183.8433,36.3485,17.06,DDO113
235.9036,39.9987,15.37,Bootes VI**
238.1758,64.5585,14.55,Draco2
171.1668,38.7183,13.82,NGC 3665
179.5257,55.4498,12.21,NGC 3998
194.2827,34.3127,11.72,CanesVenatici2
156.9697,68.4021,11.64,IC 2574
211.8070,54.9582,10.82,NGC 5485
185.0000,75.3489,10.73,NGC 4291
211.6931,50.7110,10.44,NGC 5481
186.1134,51.1505,10.40,UNIONS 2**
206.7403,60.9340,10.26,NGC 5308
211.1779,53.6393,9.88,NGC 5474
191.0558,32.2818,9.84,NGC 4657
152.3590,36.9441,9.78,-
148.6346,69.1577,9.68,M81
237.1708,65.9810,9.66,UNIONS 3**
196.1269,75.5657,9.55,-
174.2381,58.3938,9.28,NGC 3757
159.2046,74.6989,8.99,-
127.0394,52.2512,8.81,-
140.7434,66.7308,8.75,-
184.4353,37.8467,8.70,NGC 4244
148.9602,69.1246,8.69,M81
144.4160,61.1717,8.68,Galaxy Cluster
161.7705,72.8538,8.61,NGC 3348
214.9392,56.7494,8.57,NGC 5585
189.3950,74.1982,8.53,NGC 4589
227.9187,67.3603,8.53,Ursa Minor Outskirts
220.2324,46.7725,8.49,Bright Star Artifact
179.4677,39.4357,8.48,-
123.6249,60.3440,8.44,-
266.6632,75.9125,8.30,-
216.8296,73.4282,8.23,-
138.6620,39.2010,8.17,UGC4871
254.9820,31.6231,8.16,-
122.2220,57.7674,8.11,NGC 2521
121.0389,71.6687,8.11,-
257.6679,72.2860,8.11,NGC 6340
248.2876,37.8632,8.06,-
114.1460,46.0535,8.02,-
230.6603,39.3941,7.99,-
145.1340,71.1898,7.95,UGC5139
236.5059,30.8604,7.94,-
207.3012,60.1493,7.92,NGC 5322
182.0737,65.1303,7.88,NGC 4125
125.0888,30.9942,7.88,-
253.7504,46.6689,7.86,-
118.7946,46.6456,7.86,-
200.1341,43.0837,7.82,NGC 5103
118.8219,46.0906,7.81,-
162.3214,52.4713,7.78,-
113.8477,65.6543,7.78,NGC 2403
152.6344,71.6215,7.77,-
238.2993,60.8223,7.77,-
236.2518,34.5715,7.75,-
118.8715,63.4350,7.75,-
194.2847,44.7098,7.75,-
147.4478,67.8809,7.74,-
190.6017,50.0784,7.73,-
150.9771,68.7063,7.71,NGC 3077 Outskirts
121.7953,51.1120,7.68,NGC 2518
259.8827,73.4789,7.68,-
233.8300,47.3399,7.66,-
163.4113,39.0471,7.65,-
138.2968,36.7285,7.63,-
158.4204,75.8848,7.63,-
122.5356,43.2563,7.60,-
170.5012,43.7913,7.59,-
213.5173,51.0966,7.58,-
177.3117,75.0879,7.57,-
162.6929,61.2387,7.55,-
278.5695,75.7595,7.55,-
211.1029,54.4373,7.54,NGC 5471
272.2529,71.7164,7.50,-
169.2459,71.0632,7.47,-
217.9181,34.8804,7.45,-
240.1556,60.4993,7.44,-
151.6716,36.5458,7.44,-
163.9576,57.0947,7.42,NGC 3458
226.4611,67.0138,7.42,Ursa Minor Outskirts
145.5149,41.8988,7.42,-
180.7384,50.0007,7.42,-
144.3951,68.4913,7.40,-
204.2527,75.4795,7.40,-
250.1338,61.0720,7.40,-